"Data generated on Thursday, February 21, 2019 at 12:43:58 AM EST"
Area/Partners of Destination,,,,,January - December
And Commodities Exported,,,,,Values in Thousands of dollars
,,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
,Partner,,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Reporter Code,Partner Code,Product Code,
"2","China","41","Dog & Cat Food","3,260","5,208","5,823","4,097","569","343","1,160","7,179","6,007","4,513","5,958","6,161","953","297","620","2,637","6,546","US","CH","0235AT",
"2","China","42","Oilseeds (ex. soybean)","1,140","1,389","1,797","3,772","2,125","6,027","4,030","3,359","10,960","3,392","2,985","100","6,685","4,646","2,274","3,171","5,290","US","CH","0040AT",
"2","China","43","Other Consumer Oriented","2,409","1,645","894","1,645","2,376","4,743","4,165","3,823","4,251","4,664","5,532","4,554","4,933","5,886","8,985","6,685","4,475","US","CH","0240AT",
"2","China","44","Eggs & Products","1,118","523","870","981","1,826","1,369","2,703","3,341","3,315","2,963","4,362","1,699","2,702","1,898","882","1,262","2,149","US","CH","0165AT",
"2","China","45","Animal Fats","5,941","13,210","24,820","14,575","7,851","5,571","8,832","13,046","7,383","7,423","4,082","2,003","2,882","3,210","1,357","6,798","1,867","US","CH","0090AT",
"2","China","46","Rice","184","814","79","88","99","71","87","3,597","661","5,311","309","224","246","250","4","168","759","US","CH","0030AT",
"2","China","47","Fresh Vegetables","2,998","788","1,662","659","660","539","1,729","606","469","649","1,658","2,765","3,853","2,361","3,764","2,824","707","US","CH","0182AT",
"2","China","48","Biodiesel & Blends > B30","0","0","0","0","0","0","0","0","0","0","7","265","0","0","0","123","66","US","CH","0285AT",
"","Grand Total","","","64,731,206","64,118,417","73,601,243","77,597,036","79,854,514","89,923,541","111,415,445","140,029,358","123,013,994","148,407,300","176,286,522","187,035,050","191,114,410","197,004,484","174,091,137","177,475,349","181,573,955",
"Notes:<br>
1. Data Source: U.S. Census Bureau Trade Data"
"2. Product Group : BICO-HS10"
"3. Biodiesel aggregate includes only higher-level and pure biodiesel HTS chapter 38 codes; biodiesel blends below 30% by volume (aka. petroleum oils containing biodiesel) found in chapter 27 are excluded."
